XNAS/ETV_UADJ,Eaton Vance Tax-Managed Buy-Write Opportunities Fund (ETV) Unadjusted Stock Prices
XNAS/PBPB_UADJ,Potbelly Corp (PBPB) Unadjusted Stock Prices
XNAS/FXB_UADJ,Rydex Investments (FXB) Unadjusted Stock Prices
XNAS/LND_UADJ,Brasilagro Companhia Brasileira De Propriedade Agricola (LND) Unadjusted Stock Prices
XNAS/OXM_UADJ,"Oxford Industries, Inc. (OXM) Unadjusted Stock Prices"
XNAS/QTWW_UADJ,"Quantum Fuel Systems Technologies Worldwide, Inc. (QTWW) Unadjusted Stock Prices"
XNAS/FANZ_UADJ,Exchange Traded Concepts Trust (FANZ) Unadjusted Stock Prices
XNAS/MMR_UADJ,McMoran Exploration Co. (MMR) Unadjusted Stock Prices
XNAS/XFB_UADJ,Lehman ABS Corp (XFB) Unadjusted Stock Prices
XNAS/WHRT_UADJ,World Heart Corp. (WHRT) Unadjusted Stock Prices
XNAS/AMRK_UADJ,A-Mark Precious Metals Inc (AMRK) Unadjusted Stock Prices
XNAS/HH_UADJ,"Hooper Holmes, Inc. (HH) Unadjusted Stock Prices"
XNAS/IRF_UADJ,International Rectifier Corp. (IRF) Unadjusted Stock Prices
XNAS/CCE_UADJ,Coca-Cola European Partners plc (CCE) Unadjusted Stock Prices
XNAS/PFT_UADJ,Puradyn Filter Tecnologies Inc (PFT) Unadjusted Stock Prices
XNAS/BMD_UADJ,Birch Mountain Resources Ltd. (BMD) Unadjusted Stock Prices
XNAS/FNFG_UADJ,First Niagara Financial Group Inc (FNFG) Unadjusted Stock Prices
XNAS/MFINL_UADJ,Medallion Financial Corp. (MFINL) Unadjusted Stock Prices
XNAS/HBNC_UADJ,Horizon Bancorp Inc (IN) (HBNC) Unadjusted Stock Prices
XNAS/L_UADJ,Loews Corp. (L) Unadjusted Stock Prices
XNAS/MGP_1_UADJ,"Merchants Group, Inc. (MGP) Unadjusted Stock Prices"
XNAS/GEJ_UADJ,General Electric Capital Corp. (GEJ) Unadjusted Stock Prices
XNAS/CULS_UADJ,"Cost-U-Less, Inc. (CULS) Unadjusted Stock Prices"
XNAS/ECYT_UADJ,Endocyte Inc (ECYT) Unadjusted Stock Prices
XNAS/ISTA_UADJ,ISTA Pharmaceuticals Inc (ISTA) Unadjusted Stock Prices
XNAS/SIJ_UADJ,ProShares Trust (SIJ) Unadjusted Stock Prices
XNAS/CTEK_UADJ,CynergisTek Inc (CTEK) Unadjusted Stock Prices
XNAS/ALD_1_UADJ,Allied Capital Corp. (ALD) Unadjusted Stock Prices
XNAS/BBDO_UADJ,Banco Bradesco S.A. (BBDO) Unadjusted Stock Prices
XNAS/BME_UADJ,BlackRock Health Sciences Trust (BME) Unadjusted Stock Prices
XNAS/VNCE_UADJ,Vince Holding Corp (VNCE) Unadjusted Stock Prices
XNAS/ANDAR_UADJ,Andina Acquisition Corp. II (ANDAR) Unadjusted Stock Prices
XNAS/VRTSP_UADJ,Virtus Investment Partners Inc (VRTSP) Unadjusted Stock Prices
XNAS/MXF_UADJ,Mexico Fund Inc (MXF) Unadjusted Stock Prices
XNAS/KAMN_UADJ,Kaman Corp. (KAMN) Unadjusted Stock Prices
XNAS/GMZ_UADJ,Goldman Sachs MLP Income Opportunities Fund (GMZ) Unadjusted Stock Prices
XNAS/ELP_UADJ,Cia Paranaense De Energia Copel (ELP) Unadjusted Stock Prices
XNAS/BCI_UADJ,ETFS Trust (BCI) Unadjusted Stock Prices
XNAS/WB_P_S__UADJ,Wachovia Corp. (WBpS_) Unadjusted Stock Prices
XNAS/AM_1_UADJ,American Greetings Corp. (AM) Unadjusted Stock Prices
XNAS/AQB_UADJ,AquaBounty Technologies Inc (AQB) Unadjusted Stock Prices
