XNSE/MARUTI_UADJ,Maruti Suzuki India Ltd. (EQMARUTI) Unadjusted Stock Prices
XNSE/PATNI_UADJ,Patni Computer Systems (EQPATNI) Unadjusted Stock Prices
XNSE/P1MRPL_UADJ,Mangalore Refinery & Petrochemicals Ltd. (P1MRPL) Unadjusted Stock Prices
XNSE/JSL_UADJ,Jindal Stainless Ltd (EQJSL) Unadjusted Stock Prices
XNSE/W1CHOLADBS_UADJ,Cholamandalam Investment and Finance Company Ltd. (W1CHOLADBS) Unadjusted Stock Prices
XNSE/ULTRACEMCO_UADJ,UltraTech Cement Ltd. (EQULTRACEMCO) Unadjusted Stock Prices
XNSE/SOMICONVEY_UADJ,Somi Conveyor Beltings Ltd (EQSOMICONVEY) Unadjusted Stock Prices
XNSE/SHRIRAMCIT_UADJ,Shriram City Union Finance Ltd. (EQSHRIRAMCIT) Unadjusted Stock Prices
XNSE/CORAL_HUB_UADJ,Coral Hub Ltd. (EQCORAL-HUB) Unadjusted Stock Prices
XNSE/VARDHACRLC_UADJ,Vardhman Acrylics Ltd. (EQVARDHACRLC) Unadjusted Stock Prices
XNSE/NUTEK_UADJ,Nu Tek India Ltd (EQNUTEK) Unadjusted Stock Prices
XNSE/AUSTRAL_UADJ,Greenearth Resources & Projects Ltd. (EQAUSTRAL) Unadjusted Stock Prices
XNSE/BIRLACOT_UADJ,Birla Cotsyn (India) Ltd (EQBIRLACOT) Unadjusted Stock Prices
XNSE/UCOBANK_UADJ,UCO Bank (EQUCOBANK) Unadjusted Stock Prices
XNSE/W1BAJAUTOFIN_UADJ,Bajaj Finance Ltd (W1BAJAUTOFIN) Unadjusted Stock Prices
XNSE/W1NETWORK18_UADJ,Network 18 Media & Investments Ltd. (W1NETWORK18) Unadjusted Stock Prices
XNSE/RMMIL_UADJ,Resurgere Mines & Minerals India Ltd (EQRMMIL) Unadjusted Stock Prices
XNSE/BAGFILMS_UADJ,B.A.G. Films & Media Ltd. (EQBAGFILMS) Unadjusted Stock Prices
