XSES/A13_UADJ,Allied Technologies Limited (A13) Unadjusted Stock Prices
XSES/S14_UADJ,Sinomem Technology (S14) Unadjusted Stock Prices
XSES/BPF_UADJ,YHI International Limited (BPF) Unadjusted Stock Prices
XSES/A51_UADJ,Agva Corporation Limited (A51) Unadjusted Stock Prices
XSES/O15_UADJ,Oversea-Chinese Banking Corporation Limited (O15) Unadjusted Stock Prices
XSES/A05_UADJ,AVJennings Ltd (A05) Unadjusted Stock Prices
XSES/D08_UADJ,Devotion Energy Group Ltd (D08) Unadjusted Stock Prices
XSES/5DN_UADJ,Ezra Holdings Limited (5DN) Unadjusted Stock Prices
XSES/5QY_UADJ,Net Pacific Financial Holdings Limited (5QY) Unadjusted Stock Prices
XSES/S17_UADJ,(S17) Unadjusted Stock Prices
XSES/J15_UADJ,Juken Technology (J15) Unadjusted Stock Prices
XSES/5DD_UADJ,Micro-Mechanics (Holdings) Ltd (5DD) Unadjusted Stock Prices
XSES/5DL_UADJ,Koon Holdings Limited (5DL) Unadjusted Stock Prices
XSES/42O_UADJ,Koastal Limited (42O) Unadjusted Stock Prices
XSES/QS9_UADJ,Global Invacom Group Limited (QS9) Unadjusted Stock Prices
XSES/BTJ_UADJ,A-Sonic Aerospace (BTJ) Unadjusted Stock Prices
XSES/506_UADJ,Iconic Global Ltd (506) Unadjusted Stock Prices
XSES/GB8_UADJ,Zhongguo Pengjie Fabrics Limited (GB8) Unadjusted Stock Prices
XSES/5DM_UADJ,Ying Li International Real Estate Limited (5DM) Unadjusted Stock Prices
XSES/BDX_UADJ,GSH Corporation Limited (BDX) Unadjusted Stock Prices
XSES/5DO_UADJ,Sakae Holdings Ltd (5DO) Unadjusted Stock Prices
XSES/5MZ_UADJ,Kingsmen Creative (5MZ) Unadjusted Stock Prices
XSES/A52_UADJ,Annaik Limited (A52) Unadjusted Stock Prices
XSES/C36_UADJ,CHT(Holdings) (C36) Unadjusted Stock Prices
XSES/5DP_UADJ,Heeton Holdings Limited (5DP) Unadjusted Stock Prices
XSES/P10_UADJ,Pan-United Marine Ltd (P10) Unadjusted Stock Prices
XSES/5DR_UADJ,EDMI (5DR) Unadjusted Stock Prices
XSES/BHQ_UADJ,Sunningdale Tech Ltd (BHQ) Unadjusted Stock Prices
XSES/5DS_UADJ,Megachem Limited (5DS) Unadjusted Stock Prices
XSES/5NK_UADJ,Artivision Technologies (5NK) Unadjusted Stock Prices
XSES/K07_UADJ,KXD Digital Entertainment (K07) Unadjusted Stock Prices
XSES/5G9_UADJ,Tritech Group Limited (5G9) Unadjusted Stock Prices
XSES/K09_UADJ,King`s Safetywear (K09) Unadjusted Stock Prices
XSES/BQI_UADJ,Asia Fashion Holdings Limited (BQI) Unadjusted Stock Prices
XSES/GG0_UADJ,OCBC Capital Corporation (GG0) Unadjusted Stock Prices
XSES/GL8_UADJ,United Overseas Bank Ltd (GL8) Unadjusted Stock Prices
XSES/5NN_UADJ,Qualitas Medical Group Limited (5NN) Unadjusted Stock Prices
XSES/EH5_UADJ,United Overseas Australia (EH5) Unadjusted Stock Prices
XSES/B16_UADJ,GL Limited (B16) Unadjusted Stock Prices
XSES/BKV_UADJ,Dukang Distillers Holdings Limited (BKV) Unadjusted Stock Prices
XSES/S38_UADJ,Sunray Holdings (S38) Unadjusted Stock Prices
XSES/IH0_UADJ,Deutsche Bank Luxembourg S.A. (IH0) Unadjusted Stock Prices
XSES/B15_UADJ,Beauty China Hldgs (B15) Unadjusted Stock Prices
XSES/5DT_UADJ,Bright Orient Hldg Ltd (5DT) Unadjusted Stock Prices
XSES/J17_UADJ,Jackspeed Corporation Limited (J17) Unadjusted Stock Prices
XSES/GU5_UADJ,China Kunda Technology Holdings Limited (GU5) Unadjusted Stock Prices
XSES/A59_UADJ,Action Asia Ltd. (A59) Unadjusted Stock Prices
XSES/A58_UADJ,Asia Environment Hldgs (A58) Unadjusted Stock Prices
XSES/5DX_UADJ,Metal Component Engg (5DX) Unadjusted Stock Prices
XSES/H17_UADJ,HI-P International (H17) Unadjusted Stock Prices
XSES/C35_UADJ,Creative Master Bermuda (C35) Unadjusted Stock Prices
XSES/G1M_UADJ,Lyxor Asset Management (G1M) Unadjusted Stock Prices
XSES/BL5_1_UADJ,Bohai Water Industry Co Ltd (BL5) Unadjusted Stock Prices
XSES/K3RD_UADJ,Ctrip.com International (K3RD) Unadjusted Stock Prices
XSES/G1K_UADJ,Lyxor Asset Management (G1K) Unadjusted Stock Prices
XSES/BDF_UADJ,Excelpoint Technology (BDF) Unadjusted Stock Prices
XSES/5DW_UADJ,Renewable Energy Asia Group Limited (5DW) Unadjusted Stock Prices
XSES/G1O_UADJ,Lyxor Asset Management (G1O) Unadjusted Stock Prices
XSES/C56_UADJ,Celestial Nutrifoods (C56) Unadjusted Stock Prices
XSES/BER_UADJ,Otto Marine Limited (BER) Unadjusted Stock Prices
XSES/573_UADJ,Challenger Technologies (573) Unadjusted Stock Prices
XSES/U12_UADJ,United Test And Assembly Center (U12) Unadjusted Stock Prices
XSES/5EB_UADJ,CFM Holdings Limited (5EB) Unadjusted Stock Prices
XSES/5EC_UADJ,ISR Capital Limited (5EC) Unadjusted Stock Prices
XSES/S2D_UADJ,Tosei Corp (S2D) Unadjusted Stock Prices
XSES/550_UADJ,Elite KSB Holdings (550) Unadjusted Stock Prices
XSES/42S_UADJ,Astaka Holdings Limited (42S) Unadjusted Stock Prices
XSES/AWG_UADJ,AEI Corporation Ltd (AWG) Unadjusted Stock Prices
XSES/U9E_UADJ,China Everbright Water Limited (U9E) Unadjusted Stock Prices
XSES/M15_UADJ,Matex International (M15) Unadjusted Stock Prices
XSES/BCX_UADJ,China Flexible Packaging Holdings Limited (BCX) Unadjusted Stock Prices
XSES/S85_UADJ,Straco Corporation Limited (S85) Unadjusted Stock Prices
XSES/AWV_UADJ,Captii Limited (AWV) Unadjusted Stock Prices
XSES/G3B_UADJ,Nikko Asset Management Asia Limited (G3B) Unadjusted Stock Prices
XSES/T57_UADJ,Shanghai Asia Holdings Ltd (T57) Unadjusted Stock Prices
XSES/5EN_UADJ,Midas Holdings Limited (5EN) Unadjusted Stock Prices
XSES/5OI_UADJ,Japan Foods Holding Ltd (5OI) Unadjusted Stock Prices
XSES/IH1_UADJ,Deutsche Bank Luxembourg S.A. (IH1) Unadjusted Stock Prices
XSES/5RBW_UADJ,Asia-Pacific Strategic Investments Ltd (5RBW) Unadjusted Stock Prices
XSES/5ED_UADJ,I`m Technologies (5ED) Unadjusted Stock Prices
XSES/C70_UADJ,City Developments Limited (C70) Unadjusted Stock Prices
XSES/K3JD_UADJ,Changyou.Com Ltd (K3JD) Unadjusted Stock Prices
XSES/5EF_UADJ,Adventus Holdings Limited (5EF) Unadjusted Stock Prices
XSES/5EE_UADJ,Aqua-Terra Supply Co (5EE) Unadjusted Stock Prices
XSES/I4FW_UADJ,Global Yellow Pages Limited (I4FW) Unadjusted Stock Prices
XSES/5EG_UADJ,Zhongxin Fruit and Juice Limited (5EG) Unadjusted Stock Prices
XSES/CEE_UADJ,CITIC Envirotech Ltd (CEE) Unadjusted Stock Prices
XSES/5OQ_UADJ,Teho International Inc Ltd. (5OQ) Unadjusted Stock Prices
XSES/F12_UADJ,Fibrechem Technologies Limited (F12) Unadjusted Stock Prices
XSES/5OR_UADJ,Heatec Jietong Holdings Ltd (5OR) Unadjusted Stock Prices
XSES/NC9_UADJ,Malaysia Smelting Corporation Bhd (NC9) Unadjusted Stock Prices
XSES/A61_UADJ,Luye Pharma Group Ltd (A61) Unadjusted Stock Prices
XSES/5OS_UADJ,Jubilee Industries Holdings Ltd (5OS) Unadjusted Stock Prices
XSES/J18_UADJ,China Jishan Holdings Limited (J18) Unadjusted Stock Prices
XSES/R14_UADJ,Ramba Energy Limited (R14) Unadjusted Stock Prices
XSES/5OT_UADJ,Singapore Medical Group Limited (5OT) Unadjusted Stock Prices
XSES/C64_UADJ,Chinacast Communication Hols Ltd (C64) Unadjusted Stock Prices
XSES/IX2_UADJ,PEC Ltd (IX2) Unadjusted Stock Prices
XSES/5EK_UADJ,SinoCloud Group Limited (5EK) Unadjusted Stock Prices
XSES/IH4_UADJ,Deutsche Bank Luxembourg S.A. (IH4) Unadjusted Stock Prices
XSES/5EL_UADJ,Lasseters International Holdings Limited (5EL) Unadjusted Stock Prices
XSES/5OX_UADJ,Mary Chia Holdings Limited (5OX) Unadjusted Stock Prices
XSES/AWO_UADJ,Mirach Energy Limited (AWO) Unadjusted Stock Prices
XSES/42W_UADJ,China Star Food Group Limited (42W) Unadjusted Stock Prices
XSES/I3L_UADJ,Passion Holdings Limited (I3L) Unadjusted Stock Prices
XSES/H1M_UADJ,Lyxor Asset Management (H1M) Unadjusted Stock Prices
XSES/5OU_UADJ,China Environment Ltd (5OU) Unadjusted Stock Prices
XSES/1D3_UADJ,LifeBrandz Limited (1D3) Unadjusted Stock Prices
XSES/KF7_UADJ,Deutsche Bank Luxembourg S.A. (KF7) Unadjusted Stock Prices
XSES/H1O_UADJ,Lyxor Asset Management (H1O) Unadjusted Stock Prices
XSES/KF5_UADJ,Deutsche Bank Luxembourg S.A. (KF5) Unadjusted Stock Prices
XSES/AZZ_UADJ,China Gaoxian Fibre Fabric Holdings Ltd (AZZ) Unadjusted Stock Prices
XSES/I5H_UADJ,Forise International Limited (I5H) Unadjusted Stock Prices
XSES/BTE_UADJ,Bund Center Investment Ltd (BTE) Unadjusted Stock Prices
XSES/I9T_UADJ,BM Mobility Ltd (I9T) Unadjusted Stock Prices
XSES/T41_UADJ,Telechoice International Limited (T41) Unadjusted Stock Prices
XSES/5PC_UADJ,Goodland Group Limited (5PC) Unadjusted Stock Prices
XSES/J19_UADJ,Jets Technics International Hols (J19) Unadjusted Stock Prices
XSES/5PD_UADJ,Hengyang Petrochemical Logistics Limited (5PD) Unadjusted Stock Prices
XSES/1H2_UADJ,Olive Tree Estates Limited (1H2) Unadjusted Stock Prices
XSES/JS8_UADJ,CapitaMalls Asia Limited (JS8) Unadjusted Stock Prices
XSES/5PF_UADJ,Jason Marine Group Limited (5PF) Unadjusted Stock Prices
XSES/G21_UADJ,Guangzhao Industrial Forest Biotechnology Group Ltd (G21) Unadjusted Stock Prices
XSES/CGN_UADJ,Best World International Limited (CGN) Unadjusted Stock Prices
XSES/T43_UADJ,Techcomp (Holdings) Limited (T43) Unadjusted Stock Prices
XSES/C71_UADJ,China Paper Hldgs Limited (C71) Unadjusted Stock Prices
XSES/D19_UADJ,Carats Limited (D19) Unadjusted Stock Prices
XSES/T42_UADJ,China Auto Electronics Group Limited (T42) Unadjusted Stock Prices
XSES/JC6_UADJ,Lyxor Asset Management (JC6) Unadjusted Stock Prices
XSES/JC5_UADJ,Lyxor Asset Management (JC5) Unadjusted Stock Prices
XSES/JK8_UADJ,UOB Asset Management Ltd (JK8) Unadjusted Stock Prices
XSES/AZG_UADJ,8 Telecom International Holdings Company Limited (AZG) Unadjusted Stock Prices
XSES/BOL_UADJ,Memtech International Ltd (BOL) Unadjusted Stock Prices
XSES/5QSW_UADJ,Lereno Bio-Chem Ltd (5QSW) Unadjusted Stock Prices
XSES/QC7_UADJ,Q & M Dental Group (Singapore) Limited (QC7) Unadjusted Stock Prices
XSES/5PL_UADJ,SBI Offshore Limited (5PL) Unadjusted Stock Prices
XSES/5PO_UADJ,Hiap Tong Corporation Ltd (5PO) Unadjusted Stock Prices
XSES/5VS_UADJ,Hafary Holdings Limited (5VS) Unadjusted Stock Prices
XSES/T4B_UADJ,Sino Grandness Food Industry Group Limited (T4B) Unadjusted Stock Prices
XSES/J2T_UADJ,Hock Lian Seng Holdings Limited (J2T) Unadjusted Stock Prices
XSES/L0OW_UADJ,M Development Ltd. (L0OW) Unadjusted Stock Prices
XSES/J0N_1_UADJ,Deutsche Bank Luxembourg S.A. (J0N) Unadjusted Stock Prices
XSES/J0R_UADJ,Deutsche Bank Luxembourg S.A. (J0R) Unadjusted Stock Prices
XSES/J0O_UADJ,Deutsche Bank Luxembourg S.A. (J0O) Unadjusted Stock Prices
XSES/J0Q_UADJ,Deutsche Bank Luxembourg S.A. (J0Q) Unadjusted Stock Prices
XSES/J0M_1_UADJ,Deutsche Bank Luxembourg S.A. (J0M) Unadjusted Stock Prices
XSES/J7X_UADJ,Tiger Airways Holdings Limited (J7X) Unadjusted Stock Prices
XSES/J0P_UADJ,Deutsche Bank Luxembourg S.A. (J0P) Unadjusted Stock Prices
XSES/KT4_UADJ,Deutsche Bank Luxembourg S.A. (KT4) Unadjusted Stock Prices
XSES/BDN_UADJ,Ryobi Kiso Holdings Ltd. (BDN) Unadjusted Stock Prices
XSES/BKA_UADJ,Sin Heng Heavy Machinery Limited (BKA) Unadjusted Stock Prices
XSES/KT8U_UADJ,Frasers Commercial Trust (KT8U) Unadjusted Stock Prices
XSES/E27_UADJ,Place Holdings Limited (E27) Unadjusted Stock Prices
XSES/Z02_UADJ,China Powerplus Ltd (Z02) Unadjusted Stock Prices
XSES/KI3_UADJ,Hu An Cable Holdings Ltd (KI3) Unadjusted Stock Prices
XSES/5EW_UADJ,Pan Asian Holdings Limited (5EW) Unadjusted Stock Prices
XSES/5EV_UADJ,Hosen Group Ltd (5EV) Unadjusted Stock Prices
XSES/5QQW_UADJ,Chasen Holdings Limited (5QQW) Unadjusted Stock Prices
XSES/KJ9_UADJ,Cogent Holdings Limited (KJ9) Unadjusted Stock Prices
XSES/J0S_UADJ,Deutsche Bank Luxembourg S.A. (J0S) Unadjusted Stock Prices
XSES/BLZ_UADJ,Advanced Holdings Limited (BLZ) Unadjusted Stock Prices
XSES/KJ7_UADJ,Deutsche Bank Luxembourg S.A. (KJ7) Unadjusted Stock Prices
XSES/5EZ_UADJ,Adampak Limited (5EZ) Unadjusted Stock Prices
XSES/Z03_UADJ,Zhongguo Jilong Ltd (Z03) Unadjusted Stock Prices
XSES/CC3_UADJ,Starhub Limited (CC3) Unadjusted Stock Prices
XSES/KT2_UADJ,Deutsche Bank Luxembourg S.A. (KT2) Unadjusted Stock Prices
XSES/K1Q_UADJ,TTJ Holdings Limited (K1Q) Unadjusted Stock Prices
XSES/BFK_UADJ,Pharmesis International Ltd (BFK) Unadjusted Stock Prices
XSES/KT9_UADJ,Qingmei Group Holdings Limited (KT9) Unadjusted Stock Prices
XSES/KV7_UADJ,Deutsche Bank Luxembourg S.A. (KV7) Unadjusted Stock Prices
XSES/KV5_UADJ,Deutsche Bank Luxembourg S.A. (KV5) Unadjusted Stock Prices
XSES/KV6_UADJ,Deutsche Bank Luxembourg S.A. (KV6) Unadjusted Stock Prices
XSES/BTF_UADJ,Debao Property Development Ltd (BTF) Unadjusted Stock Prices
XSES/K2LU_UADJ,Cache Logistics Trust (K2LU) Unadjusted Stock Prices
XSES/KV4_UADJ,Deutsche Bank Luxembourg S.A. (KV4) Unadjusted Stock Prices
XSES/KJ6_UADJ,Deutsche Bank Luxembourg S.A. (KJ6) Unadjusted Stock Prices
XSES/BFI_UADJ,Tiong Seng Holdings Limited (BFI) Unadjusted Stock Prices
XSES/K2N_UADJ,China Minzhong Food Corporation Limited (K2N) Unadjusted Stock Prices
XSES/1J4_UADJ,JEP Holdings Ltd (1J4) Unadjusted Stock Prices
XSES/J36_UADJ,Jardine Matheson Holdings Ltd. (J36) Unadjusted Stock Prices
XSES/H78_UADJ,Hongkong Land Holdings Ltd. (H78) Unadjusted Stock Prices
XSES/J37_UADJ,Jardine Strategic Holdings Ltd. (J37) Unadjusted Stock Prices
XSES/D01_UADJ,Dairy Farm International Holdings Ltd. (D01) Unadjusted Stock Prices
XSES/M04_UADJ,Mandarin Oriental International Ltd. (M04) Unadjusted Stock Prices
XSES/BLW_UADJ,Global Palm Resources Holdings Limited (BLW) Unadjusted Stock Prices
XSES/5RHW_UADJ,Net Pacific Financial Holdings Limited (5RHW) Unadjusted Stock Prices
XSES/P34_UADJ,Delfi Limited (P34) Unadjusted Stock Prices
XSES/BEZ_UADJ,Beng Kuang Marine Limited (BEZ) Unadjusted Stock Prices
XSES/5QR_UADJ,MSM International Limited (5QR) Unadjusted Stock Prices
XSES/F11_UADJ,Fung Choi Media Group Limited (F11) Unadjusted Stock Prices
XSES/BBW_UADJ,Azeus Systems Holdings Ltd. (BBW) Unadjusted Stock Prices
XSES/5FC_UADJ,Automated Touchstone Machines Ltd. (5FC) Unadjusted Stock Prices
XSES/Z04_UADJ,Zhonghui Holdings Ltd. (Z04) Unadjusted Stock Prices
XSES/MT7_UADJ,Lyxor Asset Management (MT7) Unadjusted Stock Prices
XSES/K6K_UADJ,Deutsche Bank Luxembourg S.A. (K6K) Unadjusted Stock Prices
XSES/L1NW_UADJ,Riverstone Holdings Ltd (L1NW) Unadjusted Stock Prices
XSES/LG2U_UADJ,Forterra Trust (LG2U) Unadjusted Stock Prices
XSES/ADP_UADJ,Swissco Holdings Limited (ADP) Unadjusted Stock Prices
XSES/LH4U_UADJ,Crystal Trust (LH4U) Unadjusted Stock Prices
XSES/5FE_UADJ,Media Asia Entertainment Group Ltd. (5FE) Unadjusted Stock Prices
XSES/G5X_UADJ,Anwell Technologies Limited (G5X) Unadjusted Stock Prices
XSES/LR9W_UADJ,Best World International Limited (LR9W) Unadjusted Stock Prices
XSES/K6Y_UADJ,Deutsche Bank Luxembourg S.A. (K6Y) Unadjusted Stock Prices
XSES/5FF_UADJ,Medi-Flex Ltd (5FF) Unadjusted Stock Prices
XSES/AWS_UADJ,Global Yellow Pages Limited (AWS) Unadjusted Stock Prices
XSES/O6Z_UADJ,Lonza Group AG (O6Z) Unadjusted Stock Prices
XSES/BQP_UADJ,Southern Packaging Group Limited (BQP) Unadjusted Stock Prices
XSES/5RTW_UADJ,Old Chang Kee Ltd (5RTW) Unadjusted Stock Prices
XSES/LG9_UADJ,Deutsche Bank Luxembourg S.A. (LG9) Unadjusted Stock Prices
