XTSE/BPP_PR_G_UADJ,Bpo Properties Ltd (BPP.PR.G) Unadjusted Stock Prices
XTSE/MFC_PR_A_UADJ,Manulife Financial Corp. (MFC.PR.A) Unadjusted Stock Prices
XTSE/BPP_PR_M_UADJ,Bpo Properties Ltd (BPP.PR.M) Unadjusted Stock Prices
XTSE/GTQ_UADJ,Gateway Gold Corp (GTQ) Unadjusted Stock Prices
XTSE/BPP_PR_J_UADJ,Bpo Properties Ltd (BPP.PR.J) Unadjusted Stock Prices
XTSE/NVA_UADJ,Nuvista Energy Ltd. (NVA) Unadjusted Stock Prices
XTSE/HCX_UADJ,Barrick Gold Inc. (HCX) Unadjusted Stock Prices
XTSE/ALG_UADJ,Allied Gold Ltd (ALG) Unadjusted Stock Prices
XTSE/CRA_UADJ,Crescent Gold Ltd (CRA) Unadjusted Stock Prices
XTSE/SCT_UADJ,Solectron Global Services Canada (SCT) Unadjusted Stock Prices
XTSE/MDM_UADJ,Mineral Deposits (MDM) Unadjusted Stock Prices
XTSE/VYE_UADJ,Viceroy Exploration Ltd (VYE) Unadjusted Stock Prices
XTSE/DEE_UADJ,Delphi Energy Corp. (DEE) Unadjusted Stock Prices
XTSE/NM_UADJ,Newcrest Mining (NM) Unadjusted Stock Prices
XTSE/IXR_UADJ,IMX Resources Limited (IXR) Unadjusted Stock Prices
XTSE/CRH_UADJ,CRH Medical Corporation (CRH) Unadjusted Stock Prices
XTSE/RGX_UADJ,Argex Titanium Inc (RGX) Unadjusted Stock Prices
XTSE/FEI_WT_UADJ,FORTALEZA ENERGY INC (FEI.WT) Unadjusted Stock Prices
XTSE/TD_PR_Y_UADJ,Toronto Dominion Bank (TD.PR.Y) Unadjusted Stock Prices
XTSE/LAC_UADJ,Lithium Americas Corp (LAC) Unadjusted Stock Prices
XTSE/LSA_UADJ,Lachlan Star Ltd (LSA) Unadjusted Stock Prices
XTSE/CPM_WT_UADJ,Copernican International Premium Dividend Fund (CPM.WT) Unadjusted Stock Prices
XTSE/VIR_RT_UADJ,Virexx Medical Corp. (VIR.RT) Unadjusted Stock Prices
XTSE/CPM_WT_A_UADJ,Copernican International Premium Dividend Fund (CPM.WT.A) Unadjusted Stock Prices
XTSE/QEC_UADJ,Questerre Energy Corporation (QEC) Unadjusted Stock Prices
XTSE/P_UADJ,Primero Mining Corp (P) Unadjusted Stock Prices
XTSE/CNV_UN_UADJ,Convertible & Yield Advantage Trust. (CNV.UN) Unadjusted Stock Prices
XTSE/HER_UADJ,Heron Resources NL (HER) Unadjusted Stock Prices
XTSE/ADC_PR_A_UADJ,AIC Diversified Canada Split Corp (ADC.PR.A) Unadjusted Stock Prices
