XTSX/UMF_U_UADJ,Starlight U.S. Multi-Family Core Fund (UMF.U) Unadjusted Stock Prices
XTSX/ZPP_UADJ,Zongshen Pem Power Systems Inc (ZPP) Unadjusted Stock Prices
XTSX/LS_WT_UADJ,Lakeside Steel Inc (LS.WT) Unadjusted Stock Prices
XTSX/SQD_UADJ,SQI Diagnostics Inc (SQD) Unadjusted Stock Prices
XTSX/GEL_UADJ,Tangelo Games Corp (GEL) Unadjusted Stock Prices
XTSX/TEM_1_UADJ,Target Exploration and Mining Corp. (TEM) Unadjusted Stock Prices
XTSX/RGY_UADJ,Rival Energy Ltd. (RGY) Unadjusted Stock Prices
XTSX/QYOU_UADJ,QYOU Media Inc (QYOU) Unadjusted Stock Prices
XTSX/BC_P_UADJ,Bluerock Acquisition Corp (BC.P) Unadjusted Stock Prices
XTSX/IMS_UADJ,Investissements TSPL inc (IMS) Unadjusted Stock Prices
XTSX/ANI_UADJ,Animas Resources Ltd (ANI) Unadjusted Stock Prices
XTSX/TRS_UADJ,Tres-Or Resources (TRS) Unadjusted Stock Prices
XTSX/SII_UADJ,Simsmart Inc. (SII) Unadjusted Stock Prices
XTSX/AAR_UN_UADJ,Pure Industrial Real Estate Trust. (AAR.UN) Unadjusted Stock Prices
XTSX/SUD_U_UADJ,Starlight U.S. Multi Family (No.2) Core Fund (SUD.U) Unadjusted Stock Prices
XTSX/GAL_UADJ,Galantas Gold Corp (GAL) Unadjusted Stock Prices
XTSX/DMC_P_UADJ,DataMiners Capital Corp (DMC.P) Unadjusted Stock Prices
XTSX/CAY_UADJ,Cache Exploration Inc (CAY) Unadjusted Stock Prices
XTSX/PEI_UADJ,Oramericas Corp (PEI) Unadjusted Stock Prices
XTSX/PHM_UADJ,Protech Home Medical Corp. (PHM) Unadjusted Stock Prices
XTSX/MRO_UADJ,Millrock Resources Inc (MRO) Unadjusted Stock Prices
XTSX/SPF_UADJ,Silver Pursuit Resources Ltd (SPF) Unadjusted Stock Prices
XTSX/MAT_UADJ,Matamec Explorations Inc. (MAT) Unadjusted Stock Prices
XTSX/TEE_P_UADJ,TLO Capital Corp (TEE.P) Unadjusted Stock Prices
XTSX/RGT_UADJ,Rockgate Capital Corp. (RGT) Unadjusted Stock Prices
XTSX/SIB_UADJ,Marchwell Ventures Ltd (SIB) Unadjusted Stock Prices
XTSX/MU_UADJ,Monster Uranium Corp (MU) Unadjusted Stock Prices
XTSX/OSI_UADJ,OSI Geospatial Inc (OSI) Unadjusted Stock Prices
XTSX/MVI_UADJ,Monitor Ventures Inc (MVI) Unadjusted Stock Prices
XTSX/NXO_UADJ,Nexoptic Technology Corp (NXO) Unadjusted Stock Prices
XTSX/NGG_UADJ,New Guinea Gold Corp (NGG) Unadjusted Stock Prices
XTSX/RVL_UADJ,Revelo Resources Corp (RVL) Unadjusted Stock Prices
XTSX/HU_P_UADJ,Huffington Capital Corp (HU.P) Unadjusted Stock Prices
XTSX/FIRE_UADJ,The Supreme Cannabis Company Inc (FIRE) Unadjusted Stock Prices
XTSX/ICJ_H_UADJ,International CHS Resource Corp. (ICJ.H) Unadjusted Stock Prices
XTSX/ATV_UADJ,Alto Ventures Ltd (ATV) Unadjusted Stock Prices
XTSX/WRS_2_UADJ,Wildrose Resources Ltd (WRS) Unadjusted Stock Prices
XTSX/PJT_UADJ,Partner Jet Corp (PJT) Unadjusted Stock Prices
XTSX/WEI_UADJ,West Isle Energy Inc (WEI) Unadjusted Stock Prices
XTSX/RPP_UADJ,Regent Pacific Properties Inc (RPP) Unadjusted Stock Prices
XTSX/AIR_UADJ,Cleanfield Alternative Energy Inc (AIR) Unadjusted Stock Prices
XTSX/NFX_UADJ,NexGen Financial Corp (NFX) Unadjusted Stock Prices
XTSX/PPK_UADJ,Prospect Park Capital Corp (PPK) Unadjusted Stock Prices
XTSX/SGG_RT_UADJ,SnipGold Corp (SGG.RT) Unadjusted Stock Prices
XTSX/VVA_UADJ,Avagenesis Corp (VVA) Unadjusted Stock Prices
XTSX/LCI_P_UADJ,Lynnwood Capital Inc (LCI.P) Unadjusted Stock Prices
XTSX/TWM_UADJ,Tidewater Midstream and Infrastructure Ltd (TWM) Unadjusted Stock Prices
XTSX/GFS_UADJ,GasFrac Energy Services Inc (GFS) Unadjusted Stock Prices
XTSX/AE_A_UADJ,Anterra Energy Inc (AE.A) Unadjusted Stock Prices
XTSX/EMC_1_UADJ,Energy Metals Corporation (EMC) Unadjusted Stock Prices
XTSX/CFB_UADJ,Chieftain Metals Corp. (CFB) Unadjusted Stock Prices
XTSX/XBC_UADJ,Xebec Adsorption Inc (XBC) Unadjusted Stock Prices
XTSX/HAWK_UADJ,Hawkeye Gold and Diamond Inc (HAWK) Unadjusted Stock Prices
XTSX/CGS_UADJ,Canwest Global Communications Corp. (CGS) Unadjusted Stock Prices
XTSX/HUD_UADJ,"Hudson Resources, Inc. (HUD) Unadjusted Stock Prices"
XTSX/STP_UADJ,Southern Pacific Resource Corporation (STP) Unadjusted Stock Prices
XTSX/DSY_UADJ,Destiny Media Technologies Inc (DSY) Unadjusted Stock Prices
XTSX/KC_B_UADJ,Knightscove Media Corp (KC.B) Unadjusted Stock Prices
XTSX/DBV_UADJ,Doubleview Capital Corp (DBV) Unadjusted Stock Prices
XTSX/LGC_UADJ,Luna Gold Corp. (LGC) Unadjusted Stock Prices
XTSX/SPT_UADJ,Stockport Exploration Inc (SPT) Unadjusted Stock Prices
XTSX/ARC_UADJ,Arian Resources Corp (ARC) Unadjusted Stock Prices
XTSX/ATI_UADJ,Altai Resources Inc. (ATI) Unadjusted Stock Prices
XTSX/OLY_UADJ,Olympia Financial Group Inc (OLY) Unadjusted Stock Prices
XTSX/MIA_P_UADJ,Element Financial Corp (MIA.P) Unadjusted Stock Prices
