Symbol,Globex Symbol,Name,Exchange,Start Date,First Contract,Months,Number of Contracts,Contract Size,Tick Size,Pricing Unit,Deliverable,Big Point Value
"CL","CL","NYMEX WTI Crude Oil","CME","1983-05-18","M1983","FGHJKMNQUVXZ","9","1,000 barrels","$0.01per barrel","U.S. Dollars and Cents per barrel","Delivery shall be made free-on-board (F.O.B.) at any pipeline or storage facility in Cushing Oklahoma with pipeline access to Enterprise Cushing storage or Enbridge Cushing storage. Delivery shall be made in accordance with all applicable Federal executive orders and all applicable Federal  State and local laws and regulations.","1000"
"LN","HE","CME Lean Hogs","CME","1970-02-20","G1970","GJMNQVZ","2","40,000 pounds (~18 metric tons)","$.00025 per pound ($10 per contract)","Cents per pound","Hog (barrow and gilt) carcasses","400"
"W","ZW","CBOT Wheat","CME","1959-12-21","Z1959","HKNUZ","4","5,000 bushels (~ 136 metric tons)","1/4 of one cent per bushel ($12.50 per contract)","Cents per bushel","#2 Soft Red Winter at contract price, #1 Soft Red Winter at a 3 cent premium, other deliverable grades listed in Rule 14104.","50"
"NK","NKD","CME Nikkei 225","CME","1990-12-13","Z1990","HMUZ","2","$5.00 x Nikkei Stock Average","5.00 index points=$25.00","Index Points","None, this contract is cash settled.","5"
"S","ZS","CBOT Soybeans","CME","1970-01-21","F1970","FHKNQUX","6","5,000 bushels (~136 metric tons)","1/4 of one cent per bushel ($12.50 per contract)","Cents per bushel","#2 Yellow at contract price, #1 Yellow at a 6 cent/bushel premium, #3 Yellow at a 6 cent/bushel discount","50"
"ES","ES","CME S&P 500 Index E-Mini","CME","1997-12-18","Z1997","HMUZ","1","$50 x S&P 500 Index","0.25 index points=$12.50","Index Points","None, this contract is cash settled","50"
"MD","MD","CME S&P 400 Midcap Index","CME","1992-03-19","H1992","HMUZ","2","$100 x S&P 400 MidCap Index","0.10=$10.00","Index Points","None, this contract is cash settled.","500"
"AD","6A","CME Australian Dollar AUD","CME","1987-03-16","H1987","HMUZ","1","100,000 Australian dollars","$.0001 per Australian dollar increments ($10.00/contract). $.00005 per Australian dollar increments ($5.00/contract) for AUD/USD futures intra-currency spreads executed on the trading floor and electronically, and for AON transactions.","US dollars and cents per Australian dollars","100,000 Australian dollars","100000"
"BO","ZL","CBOT Soybean Oil","CME","1961-09-20","U1961","FHKNQUVZ","2","60,000 pounds (lbs) (~ 27 metric tons)","1/100 of a cent ($0.0001) per pound ($6.00 per contract)","Cents per pound","Crude soybean oil meeting exchange-approved grades and standards-see exchange Rules and Regulations for exact specifications.","600"
"B","","ICE Brent Crude Oil","ICE","1993-12-16","F1994","FGHJKMNQUVXZ","12","1,000 barrels","US dollars and cents","one cent per barrel","The ICE Brent Crude futures contract is a deliverable contract based on EFP delivery with an option to cash settle, i.e the ICE Brent Index price for the day following the last trading day of the futures contract.","1000"
"SI","SI","NYMEX Silver","CME","1964-03-30","H1964","FHKNUZ","1","5,000 troy ounces","Outright transactions including EFP: $0.005 per troy ounce. Straddle or spread transactions and settlement prices: $0.001 per troy ounce.","U.S. Cents per troy ounce","Silver delivered under this contract shall assay to a minimum of 999 fineness.","5000"
