XASE/MVE_WS_UADJ,Smart Move Inc (MVE.WS) Unadjusted Stock Prices
XASE/TGY_U_UADJ,Tremisis Energy Acquisition Corp II (TGY.U) Unadjusted Stock Prices
XASE/VQ_UADJ,Venoco Inc (VQ) Unadjusted Stock Prices
XASE/TIL_U_UADJ,Trans India Acquisition Corp (TIL.U) Unadjusted Stock Prices
XASE/UYG_UADJ,ProShares Trust (UYG) Unadjusted Stock Prices
XASE/NRO_UADJ,Neuberger Berman Real Estate Securities Income Fund Inc (NRO) Unadjusted Stock Prices
XASE/OPK_UADJ,Opko Health Inc (OPK) Unadjusted Stock Prices
XASE/BAC_P_W__UADJ,Bac Capital Trust I (BACpW_) Unadjusted Stock Prices
XASE/SSY_UADJ,Sunlink Health Systems Inc (SSY) Unadjusted Stock Prices
XASE/AVK_UADJ,Advent Claymore Convertible Securities & Income Fund (AVK) Unadjusted Stock Prices
XASE/FCH_UADJ,"Felcor Lodging Trust, Inc. (FCH) Unadjusted Stock Prices"
XASE/MWP_UADJ,Markwest Hydrocarbon Inc. (MWP) Unadjusted Stock Prices
XASE/WFC_UADJ,Wells Fargo & Co. (WFC) Unadjusted Stock Prices
XASE/CSX_UADJ,CSX Corp. (CSX) Unadjusted Stock Prices
XASE/BRE_P_C__UADJ,"BRE Properties, Inc. (BREpC_) Unadjusted Stock Prices"
XASE/BOR_J_UADJ,Bank Of America Corp. (BOR.J) Unadjusted Stock Prices
XASE/GTN_A_UADJ,"Gray Television, Inc. (GTN.A) Unadjusted Stock Prices"
XASE/USEG_UADJ,U.S. Energy Corp. (USEG) Unadjusted Stock Prices
XASE/SAFM_UADJ,"Sanderson Farms, Inc. (SAFM) Unadjusted Stock Prices"
XASE/T_UADJ,"AT&T, Inc. (T) Unadjusted Stock Prices"
XASE/VHI_UADJ,"Valhi, Inc. (VHI) Unadjusted Stock Prices"
XASE/HIW_UADJ,"Highwoods Properties, Inc. (HIW) Unadjusted Stock Prices"
XASE/ANY_UADJ,Sphere 3D Corp (ANY) Unadjusted Stock Prices
XASE/NTWK_UADJ,"Netsol Technologies, Inc. (NTWK) Unadjusted Stock Prices"
XASE/PTEN_UADJ,Patterson-UTI Energy Inc (PTEN) Unadjusted Stock Prices
XASE/WNR_UADJ,Western Refining Inc (WNR) Unadjusted Stock Prices
XASE/ECP_UADJ,Canterbury Park Holding Corp. (ECP) Unadjusted Stock Prices
