XBOM/532538_UADJ,UltraTech Cement Ltd. (532538) Unadjusted Stock Prices
XBOM/532517_UADJ,Patni Computer Systems (532517) Unadjusted Stock Prices
XBOM/532500_UADJ,Maruti Suzuki India Ltd. (532500) Unadjusted Stock Prices
XBOM/700131_UADJ,Aban Offshore Ltd. (700131) Unadjusted Stock Prices
XBOM/961667_UADJ,Cholamandalam Investment and Finance Company Ltd. (961667) Unadjusted Stock Prices
XBOM/700130_UADJ,Aban Offshore Ltd. (700130) Unadjusted Stock Prices
XBOM/530789_UADJ,Ceejay Finance Ltd (530789) Unadjusted Stock Prices
XBOM/532503_UADJ,Rajapalayam Mills Ltd. (532503) Unadjusted Stock Prices
XBOM/532498_UADJ,Shriram City Union Finance Ltd. (532498) Unadjusted Stock Prices
XBOM/532911_UADJ,Parle Software Ltd. (532911) Unadjusted Stock Prices
XBOM/533006_UADJ,Birla Cotsyn (India) Ltd (533006) Unadjusted Stock Prices
XBOM/532512_UADJ,Mawana Sugars Ltd. (532512) Unadjusted Stock Prices
XBOM/533001_UADJ,Somi Conveyor Beltings Ltd (533001) Unadjusted Stock Prices
XBOM/590091_UADJ,Trinethra Infra Ventures Ltd (590091) Unadjusted Stock Prices
XBOM/700082_UADJ,Mangalore Refinery & Petrochemicals Ltd. (700082) Unadjusted Stock Prices
XBOM/532505_UADJ,UCO Bank (532505) Unadjusted Stock Prices
XBOM/532508_UADJ,Jindal Stainless Ltd (532508) Unadjusted Stock Prices
XBOM/961662_UADJ,Bajaj Finance Ltd (961662) Unadjusted Stock Prices
XBOM/590090_UADJ,Swarnajyothi Agrotech & Power Ltd (590090) Unadjusted Stock Prices
XBOM/750436_UADJ,Tata Motors Ltd. (750436) Unadjusted Stock Prices
XBOM/961675_UADJ,Network 18 Media & Investments Ltd. (961675) Unadjusted Stock Prices
XBOM/533017_UADJ,Resurgere Mines & Minerals India Ltd (533017) Unadjusted Stock Prices
XBOM/533011_UADJ,Coral Hub Ltd. (533011) Unadjusted Stock Prices
XBOM/533015_UADJ,Nu Tek India Ltd (533015) Unadjusted Stock Prices
XBOM/532507_UADJ,B.A.G. Films & Media Ltd. (532507) Unadjusted Stock Prices
XBOM/700132_UADJ,Network 18 Media & Investments Ltd. (700132) Unadjusted Stock Prices
XBOM/533016_UADJ,Greenearth Resources & Projects Ltd. (533016) Unadjusted Stock Prices
XBOM/750434_UADJ,Hindalco Industries Ltd. (750434) Unadjusted Stock Prices
XBOM/532642_UADJ,JSW Holdings Ltd (532642) Unadjusted Stock Prices
XBOM/533022_UADJ,20 Microns Ltd (533022) Unadjusted Stock Prices
XBOM/533026_UADJ,Chemcel Bio Tech Ltd (533026) Unadjusted Stock Prices
XBOM/533028_UADJ,R Systems International Ltd. (533028) Unadjusted Stock Prices
XBOM/532976_UADJ,Jai Balaji Industries Ltd. (532976) Unadjusted Stock Prices
XBOM/533143_UADJ,Reliance Broadcast Network Ltd (533143) Unadjusted Stock Prices
XBOM/961679_UADJ,Tata Investment Corporation Ltd. (961679) Unadjusted Stock Prices
XBOM/533029_UADJ,Alkali Metals Ltd (533029) Unadjusted Stock Prices
XBOM/700085_UADJ,JSW Steel Ltd. (700085) Unadjusted Stock Prices
XBOM/532515_UADJ,TV Today Network (532515) Unadjusted Stock Prices
XBOM/532514_UADJ,Indraprastha Gas (532514) Unadjusted Stock Prices
XBOM/532513_UADJ,TVS Electronics Ltd.. (532513) Unadjusted Stock Prices
XBOM/532541_UADJ,NIIT Technologies Ltd. (532541) Unadjusted Stock Prices
XBOM/570001_UADJ,Tata Motors Ltd. (570001) Unadjusted Stock Prices
XBOM/570002_UADJ,Future Enterprises Ltd. (570002) Unadjusted Stock Prices
XBOM/533037_UADJ,Supreme Industries Ltd. (533037) Unadjusted Stock Prices
XBOM/533035_UADJ,Alembic Ltd. (533035) Unadjusted Stock Prices
