XHKG/08358_UADJ,Miricor Enterprises Holdings Limited (08358) Unadjusted Stock Prices
XHKG/03065_UADJ,Deutsche Bank Luxembourg S.A. (03065) Unadjusted Stock Prices
XHKG/08069_UADJ,WWPKG Holdings Company Limited (08069) Unadjusted Stock Prices
XHKG/03828_UADJ,Ming Fai International Holdings Ltd. (03828) Unadjusted Stock Prices
XHKG/2946_UADJ,Vision Values Holdings Limited (2946) Unadjusted Stock Prices
XHKG/08046_UADJ,Heng Xin China Holdings Ltd (08046) Unadjusted Stock Prices
XHKG/00330_UADJ,Esprit Holdings Ltd. (00330) Unadjusted Stock Prices
XHKG/08242_UADJ,Megalogic Technology Holdings Limited (08242) Unadjusted Stock Prices
XHKG/03141_UADJ,BMO Global Asset Management (Asia) Limited (03141) Unadjusted Stock Prices
XHKG/02623_UADJ,Add New Energy Investment Holdings Group Limited (02623) Unadjusted Stock Prices
XHKG/00754_UADJ,Hopson Development Holdings Ltd. (00754) Unadjusted Stock Prices
XHKG/3083_UADJ,HSBC Investments (Hong Kong) Ltd (3083) Unadjusted Stock Prices
XHKG/01128_UADJ,Wynn Macau Ltd (01128) Unadjusted Stock Prices
XHKG/01738_UADJ,Feishang Anthracite Resources Limited (01738) Unadjusted Stock Prices
XHKG/00841_UADJ,Asia Cassava Resources Holdings Limited (00841) Unadjusted Stock Prices
XHKG/08342_UADJ,Vixtel Technologies Holdings Limited (08342) Unadjusted Stock Prices
XHKG/00616_UADJ,Eminence Enterprise Limited (00616) Unadjusted Stock Prices
XHKG/03789_UADJ,Royal Deluxe Holdings Limited (03789) Unadjusted Stock Prices
XHKG/00981_UADJ,Semiconductor Manufacturing Intl Co (00981) Unadjusted Stock Prices
XHKG/03019_UADJ,Deutsche Bank Luxembourg S.A. (03019) Unadjusted Stock Prices
XHKG/00752_UADJ,Pico Far East Holdings Ltd. (00752) Unadjusted Stock Prices
XHKG/00771_UADJ,Automated Systems Holdings Ltd. (00771) Unadjusted Stock Prices
XHKG/01262_UADJ,Labixiaoxin Snacks Group Ltd (01262) Unadjusted Stock Prices
XHKG/01928_UADJ,Sands China Ltd (01928) Unadjusted Stock Prices
XHKG/00818_UADJ,Hi Sun Technology (China) Ltd. (00818) Unadjusted Stock Prices
XHKG/08027_UADJ,KPM Holding Limited (08027) Unadjusted Stock Prices
XHKG/01246_UADJ,Boill Healthcare Holdings Limited (01246) Unadjusted Stock Prices
XHKG/01190_UADJ,"Bolina Holding Co., Ltd. (01190) Unadjusted Stock Prices"
XHKG/00661_UADJ,China Daye Non-Ferrous Metals Mining Ltd (00661) Unadjusted Stock Prices
XHKG/08087_UADJ,China 33 Media Group Limited (08087) Unadjusted Stock Prices
XHKG/07300_UADJ,CSOP Asset Management Limited (07300) Unadjusted Stock Prices
XHKG/02302_UADJ,CNNC International Ltd. (02302) Unadjusted Stock Prices
XHKG/00336_UADJ,Huabao International Holdings Ltd. (00336) Unadjusted Stock Prices
XHKG/00505_UADJ,Huan Yue Interactive Holdings Limited (00505) Unadjusted Stock Prices
XHKG/00881_UADJ,Zhongsheng Group Holdings Limited (00881) Unadjusted Stock Prices
XHKG/3091_UADJ,Enhanced Investment Products Limited (3091) Unadjusted Stock Prices
XHKG/06838_UADJ,Winox Holdings Limited (06838) Unadjusted Stock Prices
XHKG/83156_UADJ,GF International Investment Management Limited (83156) Unadjusted Stock Prices
XHKG/00755_UADJ,Shanghai Zendai Property Ltd. (00755) Unadjusted Stock Prices
XHKG/00496_UADJ,Kasen International Hldgs (00496) Unadjusted Stock Prices
XHKG/08266_UADJ,Zhuoxin International Holdings Limited (08266) Unadjusted Stock Prices
XHKG/00313_UADJ,Richly Field China Development Ltd (00313) Unadjusted Stock Prices
XHKG/00422_UADJ,Vietnam Manufacturing & Export Processing (Holdings) Ltd. (00422) Unadjusted Stock Prices
XHKG/00969_UADJ,Hua Lien International (Holdings) Co. Ltd. (00969) Unadjusted Stock Prices
