XNYS/HS_UADJ,HealthSpring Inc (HS) Unadjusted Stock Prices
XNYS/PRA_UADJ,Proassurance Corporation (PRA) Unadjusted Stock Prices
XNYS/MC_UADJ,Moelis & Co (MC) Unadjusted Stock Prices
XNYS/ECCZ_UADJ,Eagle Point Credit Company Inc (ECCZ) Unadjusted Stock Prices
XNYS/DRF_UADJ,"Wisdomtree Investments, Inc. (DRF) Unadjusted Stock Prices"
XNYS/SHO_P_D_CL_UADJ,Sunstone Hotel Investors Inc (SHOpD.CL) Unadjusted Stock Prices
XNYS/KMPR_UADJ,Kemper Corporation (KMPR) Unadjusted Stock Prices
XNYS/CSTW__UADJ,Central Steel & Wire Co. (CSTw_) Unadjusted Stock Prices
XNYS/FCL_UADJ,Foundation Coal Hldgs Inc (FCL) Unadjusted Stock Prices
XNYS/DDI_UADJ,"Wisdomtree Investments, Inc. (DDI) Unadjusted Stock Prices"
XNYS/MCP_P_RA_UADJ,Molycorp Inc (MCPpRA) Unadjusted Stock Prices
XNYS/BLW_UADJ,BlackRock Limited Duration Income Trust (BLW) Unadjusted Stock Prices
XNYS/DFT_P_C_1_UADJ,Dupont Fabros Technology Inc (DFTpC) Unadjusted Stock Prices
XNYS/MAF_UADJ,Pimco Municipal Advantage Fund Inc (MAF) Unadjusted Stock Prices
XNYS/NKA_1_UADJ,Niska Gas Storage Partners LLC (NKA) Unadjusted Stock Prices
XNYS/PEG_P_B_CL_UADJ,Public Service Electric & Gas Co (PEGpB.CL) Unadjusted Stock Prices
XNYS/NGL_P_B_UADJ,NGL Energy Partners LP (NGLpB) Unadjusted Stock Prices
XNYS/REG_P_RC_CL_UADJ,Regency Centers Corporation (REGpRC.CL) Unadjusted Stock Prices
XNYS/SSW_P_RE_UADJ,Seaspan Corporation (SSWpRE) Unadjusted Stock Prices
XNYS/USB_P_RF_CL_UADJ,USB Capital VII (USBpRF.CL) Unadjusted Stock Prices
XNYS/FET_UADJ,Forum Energy Technologies Inc (FET) Unadjusted Stock Prices
XNYS/GHM_UADJ,Graham Corp. (GHM) Unadjusted Stock Prices
XNYS/PLD_UADJ,Prologis Inc (PLD) Unadjusted Stock Prices
XNYS/MRX_UADJ,Medicis Pharmaceutical Corp. (MRX) Unadjusted Stock Prices
XNYS/BTZ_UADJ,BlackRock Credit Allocation Income Trust (BTZ) Unadjusted Stock Prices
XNYS/PRE_P_I_UADJ,Partnerre Ltd. (PREpI) Unadjusted Stock Prices
XNYS/SPE_P_RB_UADJ,Special Opportunities Fund Inc (SPEpRB) Unadjusted Stock Prices
XNYS/NGL_UADJ,NGL Energy Partners LP (NGL) Unadjusted Stock Prices
XNYS/IVR_UADJ,Invesco Mortgage Capital Inc (IVR) Unadjusted Stock Prices
XNYS/BCRH_UADJ,Blue Capital Reinsurance Holdings Ltd (BCRH) Unadjusted Stock Prices
XNYS/MYE_UADJ,Myers Industries Inc. (MYE) Unadjusted Stock Prices
XNYS/GJI_UADJ,"Synthetic Fixed-Income Securities, Inc., (GJI) Unadjusted Stock Prices"
XNYS/ATR_UADJ,Aptargroup Inc. (ATR) Unadjusted Stock Prices
XNYS/LAS_UADJ,Lentuo International Inc (LAS) Unadjusted Stock Prices
XNYS/EHP_P_A_UADJ,"Eagle Hospitality Properties Trust, Inc. (EHPpA) Unadjusted Stock Prices"
XNYS/BIP_UADJ,Brookfield Infrastructure Partners L.P (BIP) Unadjusted Stock Prices
XNYS/BKHU_UADJ,Black Hills Corporation (BKHU) Unadjusted Stock Prices
XNYS/FSIC_UADJ,FS Investment Corp (FSIC) Unadjusted Stock Prices
XNYS/TCAP_UADJ,Triangle Capital Corporation (TCAP) Unadjusted Stock Prices
XNYS/RPM_UADJ,"RPM International, Inc. (RPM) Unadjusted Stock Prices"
XNYS/KED_UADJ,Kayne Anderson Energy Development Company (KED) Unadjusted Stock Prices
XNYS/EHB_CL_UADJ,Entergy Ark Inc (EHB.CL) Unadjusted Stock Prices
XNYS/PDP_UADJ,Invesco PowerSharesCapital Management LLC (PDP) Unadjusted Stock Prices
XNYS/ANH_UADJ,Anworth Mortgage Asset Corp. (ANH) Unadjusted Stock Prices
XNYS/POM_UADJ,Pepco Holdings Inc (POM) Unadjusted Stock Prices
XNYS/SBH_UADJ,Sally Beauty Holdings Inc (SBH) Unadjusted Stock Prices
XNYS/TMB_UADJ,Telemig Celular Participacoes S.A. (TMB) Unadjusted Stock Prices
XNYS/BK_P_C_UADJ,Bank Of New York Mellon Corp (BKpC) Unadjusted Stock Prices
XNYS/DPLO_UADJ,Diplomat Pharmacy Inc (DPLO) Unadjusted Stock Prices
XNYS/CX_UADJ,Cemex S.A.B. De C.V. (CX) Unadjusted Stock Prices
XNYS/BSC_P_G__UADJ,Bear Stearns Cos. Inc. (BSCpG_) Unadjusted Stock Prices
XNYS/ASG_1_UADJ,Liberty All-star Growth Fund Inc. (ASG) Unadjusted Stock Prices
XNYS/RNR_P_RE_UADJ,RenaissanceRe Holdings Ltd (RNRpRE) Unadjusted Stock Prices
XNYS/ABN_UADJ,RBS Holdings NV (ABN) Unadjusted Stock Prices
XNYS/VNO_P_G_UADJ,Vornado Realty Trust (VNOpG) Unadjusted Stock Prices
XNYS/CEN_1_UADJ,Arbitron Inc (CEN) Unadjusted Stock Prices
XNYS/FMO_1_UADJ,Federal-Mogul Corp. (FMO) Unadjusted Stock Prices
XNYS/ED_P_RC_CL_UADJ,"Consolidated Edison, Inc. (EDpRC.CL) Unadjusted Stock Prices"
XNYS/FLO_UADJ,"Flowers Foods, Inc. (FLO) Unadjusted Stock Prices"
XNYS/SFL_UADJ,Ship Finance International Ltd. (SFL) Unadjusted Stock Prices
XNYS/EMF_UADJ,Templeton Emerging Markets Fund (EMF) Unadjusted Stock Prices
XNYS/IFC_UADJ,Irwin Financial Corp. (IFC) Unadjusted Stock Prices
XNYS/BFT_UADJ,Bally Total Fitness Holding Corp. (BFT) Unadjusted Stock Prices
XNYS/ODC_UADJ,Oil-Dri Corp. Of America (ODC) Unadjusted Stock Prices
XNYS/FBP_P_RE__UADJ,First Bancorp PR (FBPpRE_) Unadjusted Stock Prices
XNYS/SCO_UADJ,ProShares Trust (SCO) Unadjusted Stock Prices
XNYS/HTH_UADJ,Hilltop Holdings Inc (HTH) Unadjusted Stock Prices
XNYS/BSX_UADJ,Boston Scientific Corp. (BSX) Unadjusted Stock Prices
XNYS/TRUP_UADJ,Trupanion Inc (TRUP) Unadjusted Stock Prices
XNYS/TNS_UADJ,TNS Inc (TNS) Unadjusted Stock Prices
XNYS/PPL_P_RW_UADJ,PPL Corp (PPLpRW) Unadjusted Stock Prices
XNYS/MMT_UADJ,MFS Multimarket Income Trust (MMT) Unadjusted Stock Prices
XNYS/PNC_P_C_CL_UADJ,PNC Financial Services Group (PNCpC.CL) Unadjusted Stock Prices
XNYS/GCV_UADJ,Gabelli Convertible and Income Securities Fund Inc (GCV) Unadjusted Stock Prices
XNYS/CYS_P_B_UADJ,CYS Investments Inc (CYSpB) Unadjusted Stock Prices
XNYS/DQU_P_E_UADJ,Duquesne Light Co (DQUpE) Unadjusted Stock Prices
XNYS/ALF_CL_UADJ,Alabama Power Co (ALF.CL) Unadjusted Stock Prices
XNYS/TCM_UADJ,Tongjitang Chinese Medicines Co (TCM) Unadjusted Stock Prices
XNYS/OAK_UADJ,Oaktree Capital Group LLC (OAK) Unadjusted Stock Prices
XNYS/TIER_UADJ,Tier Reit Inc (TIER) Unadjusted Stock Prices
XNYS/TIF_UADJ,Tiffany & Co. (TIF) Unadjusted Stock Prices
XNYS/JCE_UADJ,Nuveen Core Equity Alpha Fund (JCE) Unadjusted Stock Prices
XNYS/HP_UADJ,"Helmerich & Payne, Inc. (HP) Unadjusted Stock Prices"
XNYS/KNO_UADJ,Structured Products Corp. (KNO) Unadjusted Stock Prices
XNYS/MPV_UADJ,Barings Participation Investors (MPV) Unadjusted Stock Prices
XNYS/BIO_B_UADJ,Bio-Rad Laboratories Inc. (BIO.B) Unadjusted Stock Prices
XNYS/K_UADJ,Kellogg Co (K) Unadjusted Stock Prices
XNYS/ASG_UADJ,Liberty All-Star Growth Fund Inc (ASG) Unadjusted Stock Prices
XNYS/LXU_UADJ,"LSB Industries, Inc. (LXU) Unadjusted Stock Prices"
XNYS/DKS_UADJ,"Dicks Sporting Goods, Inc. (DKS) Unadjusted Stock Prices"
XNYS/HPY_UADJ,Heartland Payment Systems Inc (HPY) Unadjusted Stock Prices
XNYS/MXE_UADJ,Mexico Equity And Income Fund Inc (MXE) Unadjusted Stock Prices
XNYS/DFE_UADJ,WisdomTree Trust (DFE) Unadjusted Stock Prices
XNYS/DBL_UADJ,DoubleLine Opportunistic Credit Fund (DBL) Unadjusted Stock Prices
XNYS/BG_UADJ,Bunge Ltd. (BG) Unadjusted Stock Prices
XNYS/BXP_P_B_UADJ,"Boston Properties, Inc. (BXPpB) Unadjusted Stock Prices"
XNYS/SPGI_UADJ,S&P Global Inc (SPGI) Unadjusted Stock Prices
XNYS/NRF_P_A_UADJ,Northstar Realty Finance Corp (NRFpA) Unadjusted Stock Prices
XNYS/MNR_P_C_UADJ,Monmouth Real Estate Investment Corp. (MNRpC) Unadjusted Stock Prices
XNYS/TXI_UADJ,Texas Industries Inc. (TXI) Unadjusted Stock Prices
XNYS/PGM_UADJ,Barclays Bank PLC (PGM) Unadjusted Stock Prices
XNYS/OME_UADJ,"Omega Protein, Corp. (OME) Unadjusted Stock Prices"
XNYS/XLU_UADJ,SSgA Active Trust (XLU) Unadjusted Stock Prices
XNYS/DXCW_UADJ,Computer Sciences Corp. (DXCw) Unadjusted Stock Prices
XNYS/OSB_UADJ,Norbord Inc. (OSB) Unadjusted Stock Prices
XNYS/VCV_UADJ,Invesco California Value Municipal Income Trust (VCV) Unadjusted Stock Prices
XNYS/NLY_UADJ,Annaly Capital Management Inc (NLY) Unadjusted Stock Prices
XNYS/SFS_UADJ,Smart & Final Stores Inc (SFS) Unadjusted Stock Prices
XNYS/CHG_UADJ,"CH Energy Group, Inc. (CHG) Unadjusted Stock Prices"
XNYS/RF_P_RB_UADJ,Regions Financial Corp. (RFpRB) Unadjusted Stock Prices
XNYS/BPL_UADJ,Buckeye Partners L.P. (BPL) Unadjusted Stock Prices
XNYS/GFZ_UADJ,Aag Holding Company (GFZ) Unadjusted Stock Prices
XNYS/RAS_P_RC_UADJ,RAIT Financial Trust (RASpRC) Unadjusted Stock Prices
XNYS/QCP_UADJ,Quality Care Properties Inc (QCP) Unadjusted Stock Prices
XNYS/NJR_UADJ,New Jersey Resources Corporation (NJR) Unadjusted Stock Prices
XNYS/CNH_UADJ,Cnh Global NV (CNH) Unadjusted Stock Prices
XNYS/MZF_UADJ,Managed Duration Investment Grade Municipal Fund (MZF) Unadjusted Stock Prices
XNYS/DFS_UADJ,Discover Financial Services (DFS) Unadjusted Stock Prices
XNYS/UZC_UADJ,United States Cellular Corporation (UZC) Unadjusted Stock Prices
XNYS/WHG_UADJ,Westwood Holdings Group Inc (WHG) Unadjusted Stock Prices
XNYS/GMW_UADJ,Motors Liquidation Co (GMW) Unadjusted Stock Prices
XNYS/HTZW_UADJ,Hertz Global Holdings Inc (HTZw) Unadjusted Stock Prices
XNYS/CFC_P_B_CL_UADJ,Countrywide Capital V (CFCpB.CL) Unadjusted Stock Prices
XNYS/KS_UADJ,Kapstone Paper and Packaging Corporation (KS) Unadjusted Stock Prices
XNYS/PSA_P_RH_CL_UADJ,Public Storage (PSApRH.CL) Unadjusted Stock Prices
XNYS/NNY_UADJ,Nuveen New York Municipal Value Fund (NNY) Unadjusted Stock Prices
XNYS/VG_UADJ,Vonage Holdings Corp (VG) Unadjusted Stock Prices
XNYS/NCS_UADJ,"NCI Building Systems, Inc. (NCS) Unadjusted Stock Prices"
XNYS/RISK_UADJ,Riskmetrics Group Inc (RISK) Unadjusted Stock Prices
XNYS/DJO_UADJ,DJO Inc (DJO) Unadjusted Stock Prices
XNYS/VNR_UADJ,Vanguard Natural Resources Llc (VNR) Unadjusted Stock Prices
XNYS/NFJ_UADJ,AllianzGI NFJ Dividend Interest & Premium Strategy Fund (NFJ) Unadjusted Stock Prices
XNYS/ETJ_UADJ,Eaton Vance Risk-Managed Diversified Equity Income Fund (ETJ) Unadjusted Stock Prices
XNYS/HRW_UADJ,DBX Advisors LLC (HRW) Unadjusted Stock Prices
XNYS/TWB_UADJ,Tween Brands Inc (TWB) Unadjusted Stock Prices
XNYS/MFO_UADJ,MFA Financial Inc (MFO) Unadjusted Stock Prices
XNYS/HHE_UADJ,DBX Advisors LLC (HHE) Unadjusted Stock Prices
XNYS/NIE_UADJ,AllianzGI Equity & Convertible Income Fund (NIE) Unadjusted Stock Prices
XNYS/VTJ_UADJ,Invesco Trust for Investment Grade New Jersey Municipals (VTJ) Unadjusted Stock Prices
XNYS/CBH_1_UADJ,"Commerce Bancorp, Inc. (CBH) Unadjusted Stock Prices"
XNYS/SNV_P_RT__UADJ,Synovus Financial Corp. (SNVpRT_) Unadjusted Stock Prices
XNYS/DFP_1_UADJ,"Delphi Financial Group, Inc. (DFP) Unadjusted Stock Prices"
XNYS/YUMW_UADJ,Yum Brands Inc. (YUMw) Unadjusted Stock Prices
XNYS/HGR_UADJ,Hanger Inc (HGR) Unadjusted Stock Prices
XNYS/IM_UADJ,Ingram Micro Inc. (IM) Unadjusted Stock Prices
XNYS/CAI_UADJ,Cai International Inc (CAI) Unadjusted Stock Prices
XNYS/VDM_UADJ,Van Der Moolen Holdings NV (VDM) Unadjusted Stock Prices
