XSHE/002581_UADJ,Shandong Sinobioway Biomedicine Co Ltd. (002581) Unadjusted Stock Prices
XSHE/002566_UADJ,Jilin Jian Yisheng Pharmaceutical Co Ltd (002566) Unadjusted Stock Prices
XSHE/300298_UADJ,Changsha Sinocare Inc. (300298) Unadjusted Stock Prices
XSHE/002448_UADJ,ZYNP Corporation (002448) Unadjusted Stock Prices
XSHE/002721_UADJ,Beijing Kingee Culture Development Co Ltd (002721) Unadjusted Stock Prices
XSHE/300525_UADJ,Fujian Boss Software Development Co Ltd. (300525) Unadjusted Stock Prices
XSHE/002767_UADJ,Hangzhou Innover Technology Co Ltd. (002767) Unadjusted Stock Prices
XSHE/000755_UADJ,Shanxi Sanwei Group Co. Ltd. (000755) Unadjusted Stock Prices
XSHE/300372_UADJ,Dan Dong Xin Tai Electric Co Ltd (300372) Unadjusted Stock Prices
XSHE/002116_UADJ,China Haisum Engineering Co. Ltd. (002116) Unadjusted Stock Prices
XSHE/159923_UADJ,Da Cheng Fund Management Co. Ltd (159923) Unadjusted Stock Prices
XSHE/002473_UADJ,Ningbo Sunlight Electrical Appliance Co. Ltd. (002473) Unadjusted Stock Prices
XSHE/300162_UADJ,Ledman Optoelectronic Co Ltd (300162) Unadjusted Stock Prices
XSHE/002073_UADJ,Mesnac Co Ltd. (002073) Unadjusted Stock Prices
XSHE/300003_UADJ,"Lepu Medical Technology (Beijing) Co., Ltd. (300003) Unadjusted Stock Prices"
XSHE/002259_UADJ,Sichuan Shengda Forestry Industry (002259) Unadjusted Stock Prices
XSHE/002202_UADJ,Xinjiang Goldwind Science & Technology Co Ltd (002202) Unadjusted Stock Prices
XSHE/000570_UADJ,Changchai Co.Ltd. (000570) Unadjusted Stock Prices
XSHE/002636_UADJ,Goldenmax International Technology Ltd (002636) Unadjusted Stock Prices
XSHE/002350_UADJ,Beijing Creative Distribution Automation (002350) Unadjusted Stock Prices
XSHE/594_UADJ,Tianjin Good Hand Railway Holding Co Ltd (594) Unadjusted Stock Prices
XSHE/200505_UADJ,Hainan Jingliang Holdings Co. Ltd. (200505) Unadjusted Stock Prices
XSHE/002609_UADJ,Shenzhen Jieshun Science & Tech. Industry Co Ltd (002609) Unadjusted Stock Prices
XSHE/300105_UADJ,Yantai Longyuan Power Technology (300105) Unadjusted Stock Prices
XSHE/002561_UADJ,Shanghai Xujiahui Commercial Co Ltd (002561) Unadjusted Stock Prices
XSHE/002471_UADJ,Jiangsu Zhongchao Holding Co Ltd. (002471) Unadjusted Stock Prices
XSHE/002595_UADJ,Himile Mechanical Science And Technology (Shandong) Co.Ltd. (002595) Unadjusted Stock Prices
XSHE/002559_UADJ,Jiangsu Yawei Machine Tool Co Ltd (002559) Unadjusted Stock Prices
XSHE/000893_UADJ,Donlinks International Investment Co Ltd. (000893) Unadjusted Stock Prices
XSHE/000088_UADJ,Shenzhen Yan Tian Port Holdings Co. Ltd. (000088) Unadjusted Stock Prices
XSHE/002148_UADJ,Beijing Bewinner Communications Co. (002148) Unadjusted Stock Prices
XSHE/000540_UADJ,Zhongtian Financial Group Company Limited (000540) Unadjusted Stock Prices
XSHE/300285_UADJ,Shandong Sinocera Functional Material Co. Ltd (300285) Unadjusted Stock Prices
XSHE/000806_UADJ,Galaxy Biomedical Investment Co Ltd. (000806) Unadjusted Stock Prices
XSHE/300059_UADJ,East Money Information Technology Co Ltd (300059) Unadjusted Stock Prices
XSHE/300477_UADJ,Beijing Hezong Science & Technology Co. Ltd. (300477) Unadjusted Stock Prices
XSHE/002022_UADJ,"Shanghai Kehua Bio-Engineering Co.,Ltd. (002022) Unadjusted Stock Prices"
XSHE/002465_UADJ,Guangzhou Haige Communications Group (002465) Unadjusted Stock Prices
XSHE/002661_UADJ,Kemen Noodle Manufacturing Co. Ltd (002661) Unadjusted Stock Prices
XSHE/002216_UADJ,"Sanquan Food Co.,Ltd. (002216) Unadjusted Stock Prices"
XSHE/002549_UADJ,Hunan Kaimeite Gases Co Ltd (002549) Unadjusted Stock Prices
XSHE/300465_UADJ,Global Infotech Co Ltd. (300465) Unadjusted Stock Prices
XSHE/300277_UADJ,Shenzhen Hirisun Technology Inc (300277) Unadjusted Stock Prices
XSHE/159949_UADJ,"Hua An Fund Management Co., Ltd (159949) Unadjusted Stock Prices"
XSHE/000408_UADJ,Zangge Holding Company Limited (000408) Unadjusted Stock Prices
XSHE/000620_UADJ,Macrolink Culturaltainment Development Co Ltd. (000620) Unadjusted Stock Prices
XSHE/002516_UADJ,Kuangda Technology Group Co Ltd. (002516) Unadjusted Stock Prices
XSHE/002229_UADJ,"Hongbo Co.,Ltd. (002229) Unadjusted Stock Prices"
XSHE/000554_UADJ,Sinopec Shandong Taishan Petroleum Co. Ltd. (000554) Unadjusted Stock Prices
XSHE/002290_UADJ,Suzhou China Create Special Material Co. Ltd. (002290) Unadjusted Stock Prices
XSHE/002235_UADJ,Xiamen Anne Corporation Limited (002235) Unadjusted Stock Prices
XSHE/000911_UADJ,Nanning Sugar Industry Co Ltd (000911) Unadjusted Stock Prices
XSHE/300074_UADJ,AVCON Information Technology Company Ltd (300074) Unadjusted Stock Prices
XSHE/002135_UADJ,Zhejiang Southeast Space Frame Co Ltd (002135) Unadjusted Stock Prices
XSHE/000965_UADJ,Tianjin Tianbao Infrastructure Co Ltd (000965) Unadjusted Stock Prices
XSHE/002511_UADJ,C&S Paper Co Ltd (002511) Unadjusted Stock Prices
XSHE/002610_UADJ,Jiangsu Akcome Science and Technology Co. Ltd (002610) Unadjusted Stock Prices
XSHE/002243_UADJ,Shenzhen Beauty Star Co. Ltd. (002243) Unadjusted Stock Prices
XSHE/300197_UADJ,Shenzhen Techand Ecology And Environment Co Ltd. (300197) Unadjusted Stock Prices
XSHE/002785_UADJ,Xiamen Wanli Stone Stock Co Ltd (002785) Unadjusted Stock Prices
XSHE/000524_UADJ,Guangzhou Lingnan Group Holdings Company Limited (000524) Unadjusted Stock Prices
XSHE/002372_UADJ,Zhejiang Weixing New Building Materials Co Ltd (002372) Unadjusted Stock Prices
XSHE/002808_UADJ,Suzhou Goldengreen Technologies Ltd (002808) Unadjusted Stock Prices
XSHE/300279_UADJ,Wuxi Hodgen Technology Co. Ltd (300279) Unadjusted Stock Prices
XSHE/300147_UADJ,Xiangxue Pharmaceutical Co Ltd (300147) Unadjusted Stock Prices
XSHE/300455_UADJ,Beijing Ctrowell Technology Corporation Limited (300455) Unadjusted Stock Prices
XSHE/300229_UADJ,Beijing Trs Information Technology Co. Ltd (300229) Unadjusted Stock Prices
XSHE/300347_UADJ,Hangzhou Tigermed Consulting Co Ltd (300347) Unadjusted Stock Prices
XSHE/002020_UADJ,"Zhejiang Jingxin Pharmaceutical Co., Ltd. (002020) Unadjusted Stock Prices"
XSHE/000560_UADJ,5I5J Holding Group Co Ltd. (000560) Unadjusted Stock Prices
XSHE/000662_UADJ,Teamax Smart City Technology Corporation Limited (000662) Unadjusted Stock Prices
XSHE/002656_UADJ,Modern Avenue Group Co Ltd. (002656) Unadjusted Stock Prices
XSHE/002792_UADJ,Tongyu Communication Inc. (002792) Unadjusted Stock Prices
XSHE/300476_UADJ,Victory Giant Technology (HuiZhou) Co Ltd. (300476) Unadjusted Stock Prices
XSHE/300520_UADJ,GuoChuang Software Co Ltd (300520) Unadjusted Stock Prices
XSHE/000638_UADJ,"Vanfund Urban Investment Development Co., Ltd. (000638) Unadjusted Stock Prices"
XSHE/000703_UADJ,Hengyi Petrochemical Co Ltd (000703) Unadjusted Stock Prices
XSHE/200429_UADJ,Guangdong Provincial Expressway Development Co. Ltd. (200429) Unadjusted Stock Prices
XSHE/200761_UADJ,Bengang Steel Plates Co. Ltd. (200761) Unadjusted Stock Prices
XSHE/000722_UADJ,Hunan Development Group Co Ltd. (000722) Unadjusted Stock Prices
XSHE/300381_UADJ,Guangdong Vtr Bio-Tech Co Ltd (300381) Unadjusted Stock Prices
XSHE/300591_UADJ,Guangdong Wanlima Industry Co Ltd (300591) Unadjusted Stock Prices
XSHE/002341_UADJ,"Shenzhen Selen Science & Technology Co., Ltd. (002341) Unadjusted Stock Prices"
XSHE/000020_UADJ,Shenzhen Zhongheng Huafa Co Ltd (000020) Unadjusted Stock Prices
XSHE/002560_UADJ,Henan Tong-Da Cable Co Ltd (002560) Unadjusted Stock Prices
XSHE/002823_UADJ,Shenzhen Kaizhong Precision Technology Co Ltd. (002823) Unadjusted Stock Prices
XSHE/002702_UADJ,"Haixin Foods Co., Ltd. (002702) Unadjusted Stock Prices"
XSHE/300606_UADJ,Dongguan Golden Sun Abrasives Co. Ltd (300606) Unadjusted Stock Prices
XSHE/300415_UADJ,Guangdong Yizumi Precision Machinery Co Ltd. (300415) Unadjusted Stock Prices
XSHE/000566_UADJ,"Hainan Haiyao Co., Ltd. (000566) Unadjusted Stock Prices"
XSHE/300157_UADJ,Landocean Group Limited (300157) Unadjusted Stock Prices
XSHE/300263_UADJ,Luoyang Longhua Heat Transfer & Energy Conservation Co. Ltd. (300263) Unadjusted Stock Prices
XSHE/002088_UADJ,Luyang Energy-Saving Materials Co. Ltd. (002088) Unadjusted Stock Prices
XSHE/200018_UADJ,Sino Great Wall Co Ltd. (200018) Unadjusted Stock Prices
XSHE/000407_UADJ,Shandong Shengli Co. Ltd. (000407) Unadjusted Stock Prices
XSHE/002185_UADJ,Tianshui Huatian Technology Co Ltd (002185) Unadjusted Stock Prices
XSHE/159927_UADJ,Penghua Fund Management Co Ltd (159927) Unadjusted Stock Prices
XSHE/002547_UADJ,Suzhou Chunxing Precision Mechanical Co Ltd (002547) Unadjusted Stock Prices
XSHE/002432_UADJ,Andon Health Company Ltd (002432) Unadjusted Stock Prices
XSHE/300282_UADJ,Beijing Irtouch Systems Co. Ltd (300282) Unadjusted Stock Prices
XSHE/200570_UADJ,Changchai Co.Ltd. (200570) Unadjusted Stock Prices
XSHE/002570_UADJ,Beingmate Baby & Child Food Co Ltd (002570) Unadjusted Stock Prices
XSHE/002077_UADJ,"Jiangsu Dagang Co., Ltd. (002077) Unadjusted Stock Prices"
XSHE/002249_UADJ,Zhongshan Broad Ocean Motor Co (002249) Unadjusted Stock Prices
XSHE/002340_UADJ,GEM Co Ltd (002340) Unadjusted Stock Prices
XSHE/300066_UADJ,Sanchuan Wisdom Technology Co.Ltd (300066) Unadjusted Stock Prices
