XSHG/600178_UADJ,Harbin Dongan Auto Engine Co. Ltd. (600178) Unadjusted Stock Prices
XSHG/601211_UADJ,"Guotai Junan Securities Co., Ltd. (601211) Unadjusted Stock Prices"
XSHG/601000_UADJ,Tangshan Port Group Co. Ltd (601000) Unadjusted Stock Prices
XSHG/600408_UADJ,Shanxi Antai Group (600408) Unadjusted Stock Prices
XSHG/600655_UADJ,Shanghai Yuyuan Tourist Mart Co. Ltd. (600655) Unadjusted Stock Prices
XSHG/603011_UADJ,Hefei Metalforming Intelligent Manufacturing Co Ltd. (603011) Unadjusted Stock Prices
XSHG/603637_UADJ,Zhenhai Petrochemical Engineering Co. Ltd (603637) Unadjusted Stock Prices
XSHG/600221_UADJ,Hainan Airlines Holding Co. Ltd. (600221) Unadjusted Stock Prices
XSHG/900921_1_UADJ,(900921) Unadjusted Stock Prices
XSHG/600023_UADJ,Zhejiang Zheneng Electric Power Co Ltd (600023) Unadjusted Stock Prices
XSHG/601766_UADJ,CRRC Corporation Limited (601766) Unadjusted Stock Prices
XSHG/600051_UADJ,Ningbo United Group Co. Ltd. (600051) Unadjusted Stock Prices
XSHG/600197_UADJ,Xingjiang Yilite Industry Co. Ltd. (600197) Unadjusted Stock Prices
XSHG/900928_1_UADJ,(900928) Unadjusted Stock Prices
XSHG/600302_UADJ,Xi`an Typical Industries Company Limited (600302) Unadjusted Stock Prices
XSHG/600674_UADJ,Sichuan Chuantou Energy Co (600674) Unadjusted Stock Prices
XSHG/600261_UADJ,Zhejiang Yankon Group Co Ltd (600261) Unadjusted Stock Prices
XSHG/600988_UADJ,Chifeng Jilong Gold Mining Co Ltd (600988) Unadjusted Stock Prices
XSHG/600340_UADJ,China Fortune Land Development Co Ltd. (600340) Unadjusted Stock Prices
XSHG/600287_UADJ,"Jiangsu Sainty Corp., Ltd. (600287) Unadjusted Stock Prices"
XSHG/600054_UADJ,Huangshan Tourism Development Co. Ltd. (600054) Unadjusted Stock Prices
XSHG/601678_UADJ,"Befar Group Co., Ltd. (601678) Unadjusted Stock Prices"
XSHG/601058_UADJ,Sailun Jinyu Group Co.Ltd (601058) Unadjusted Stock Prices
XSHG/511650_UADJ,"China Asset Management Co., Ltd (511650) Unadjusted Stock Prices"
XSHG/600481_UADJ,Shuangliang Eco-Energy Systems Co.Ltd. (600481) Unadjusted Stock Prices
